主题ID,主题名称,关键词,对应行业/概念
em_01,AI云技术筑牢春晚直播底座,人形机器人,人形机器人
em_01,AI云技术筑牢春晚直播底座,减速器,减速器
em_01,AI云技术筑牢春晚直播底座,半导体概念,半导体概念
em_01,AI云技术筑牢春晚直播底座,存储芯片,存储芯片
em_01,AI云技术筑牢春晚直播底座,工业母机,工业母机
em_01,AI云技术筑牢春晚直播底座,特高压,特高压
em_01,AI云技术筑牢春晚直播底座,百元股,百元股
em_01,AI云技术筑牢春晚直播底座,第三代半导体,第三代半导体
em_02,豆包AI陪看赋能实时互动,人形机器人,人形机器人
em_02,豆包AI陪看赋能实时互动,减速器,减速器
em_02,豆包AI陪看赋能实时互动,半导体概念,半导体概念
em_02,豆包AI陪看赋能实时互动,存储芯片,存储芯片
em_02,豆包AI陪看赋能实时互动,工业母机,工业母机
em_02,豆包AI陪看赋能实时互动,特高压,特高压
em_02,豆包AI陪看赋能实时互动,百元股,百元股
em_02,豆包AI陪看赋能实时互动,第三代半导体,第三代半导体
em_03,个性化AI年味内容共创,人形机器人,人形机器人
em_03,个性化AI年味内容共创,减速器,减速器
em_03,个性化AI年味内容共创,半导体概念,半导体概念
em_03,个性化AI年味内容共创,存储芯片,存储芯片
em_03,个性化AI年味内容共创,工业母机,工业母机
em_03,个性化AI年味内容共创,特高压,特高压
em_03,个性化AI年味内容共创,百元股,百元股
em_03,个性化AI年味内容共创,第三代半导体,第三代半导体
em_04,跨屏协同与多端联动互动,人形机器人,人形机器人
em_04,跨屏协同与多端联动互动,减速器,减速器
em_04,跨屏协同与多端联动互动,半导体概念,半导体概念
em_04,跨屏协同与多端联动互动,存储芯片,存储芯片
em_04,跨屏协同与多端联动互动,工业母机,工业母机
em_04,跨屏协同与多端联动互动,特高压,特高压
em_04,跨屏协同与多端联动互动,百元股,百元股
em_04,跨屏协同与多端联动互动,第三代半导体,第三代半导体
